SEQN,sex,age_year,race,education,marital_status,income_pov_rat
110937.0,F,7.0,Non-Hispanic Asian,,,5.0
110938.0,M,3.0,Mexican American,,,0.04
110939.0,F,31.0,Other Hispanic,Some college or AA degree,Widowed/Divorced/Separated,5.397605346934028e-79
110940.0,F,55.0,Non-Hispanic Black,Some college or AA degree,Married/Living with Partner,3.16
110941.0,F,59.0,Non-Hispanic White,Some college or AA degree,Widowed/Divorced/Separated,3.68
110942.0,F,68.0,Non-Hispanic Black,Some college or AA degree,Married/Living with Partner,3.46
110943.0,M,14.0,Other Race - Including Multi-Racial,,,0.06
110944.0,M,73.0,Non-Hispanic White,High school graduate/GED or equivalent,Married/Living with Partner,2.37
110945.0,F,12.0,Non-Hispanic Black,,,0.69
110947.0,F,30.0,Other Race - Including Multi-Racial,Some college or AA degree,Married/Living with Partner,
110949.0,F,26.0,Non-Hispanic Asian,College graduate or above,Never married,0.08
110951.0,F,5.0,Non-Hispanic White,,,1.8
110952.0,M,80.0,Non-Hispanic White,Some college or AA degree,Married/Living with Partner,3.61
110953.0,F,64.0,Non-Hispanic Asian,College graduate or above,Married/Living with Partner,5.0
110956.0,F,76.0,Non-Hispanic White,9-11th grade,Married/Living with Partner,4.73
110957.0,M,31.0,Non-Hispanic Asian,Some college or AA degree,Married/Living with Partner,1.5
110958.0,M,51.0,Non-Hispanic Black,High school graduate/GED or equivalent,Never married,2.67
110959.0,M,63.0,Non-Hispanic Black,College graduate or above,Married/Living with Partner,
110961.0,M,60.0,Non-Hispanic Asian,Some college or AA degree,Married/Living with Partner,4.57
110963.0,F,15.0,Mexican American,,,0.68
110966.0,F,29.0,Non-Hispanic White,College graduate or above,Married/Living with Partner,5.0
110967.0,M,8.0,Non-Hispanic White,,,1.44
110968.0,M,8.0,Mexican American,,,
110971.0,M,68.0,Other Hispanic,Some college or AA degree,Married/Living with Partner,
110972.0,F,16.0,Mexican American,,,2.23
110973.0,F,72.0,Non-Hispanic White,High school graduate/GED or equivalent,Married/Living with Partner,
110974.0,F,8.0,Non-Hispanic Black,,,
110976.0,F,22.0,Non-Hispanic Black,High school graduate/GED or equivalent,Married/Living with Partner,1.99
110977.0,M,41.0,Mexican American,High school graduate/GED or equivalent,Married/Living with Partner,5.0
110979.0,M,51.0,Non-Hispanic Asian,Some college or AA degree,Never married,4.93
110980.0,F,13.0,Non-Hispanic White,,,1.72
110981.0,F,39.0,Non-Hispanic White,Some college or AA degree,Married/Living with Partner,0.8
110984.0,F,44.0,Non-Hispanic White,College graduate or above,Married/Living with Partner,5.0
110985.0,M,25.0,Non-Hispanic White,Some college or AA degree,Never married,2.16
110986.0,F,68.0,Non-Hispanic White,Some college or AA degree,Widowed/Divorced/Separated,5.0
110987.0,M,51.0,Non-Hispanic Black,College graduate or above,Married/Living with Partner,5.0
110988.0,M,18.0,Mexican American,,,
110990.0,M,71.0,Non-Hispanic White,College graduate or above,Married/Living with Partner,
110991.0,M,66.0,Non-Hispanic White,College graduate or above,Married/Living with Partner,5.0
110993.0,M,60.0,Non-Hispanic White,Some college or AA degree,Widowed/Divorced/Separated,2.64
110994.0,M,9.0,Non-Hispanic Asian,,,5.0
110995.0,F,28.0,Non-Hispanic White,Some college or AA degree,Married/Living with Partner,3.28
110996.0,M,70.0,Non-Hispanic Black,College graduate or above,Widowed/Divorced/Separated,
110997.0,M,40.0,Non-Hispanic White,College graduate or above,Married/Living with Partner,4.35
110999.0,F,25.0,Other Race - Including Multi-Racial,Some college or AA degree,Married/Living with Partner,1.46
111002.0,F,79.0,Non-Hispanic Black,College graduate or above,Widowed/Divorced/Separated,
111003.0,F,23.0,Non-Hispanic White,College graduate or above,Never married,3.34
111004.0,F,10.0,Non-Hispanic White,,,2.21
111005.0,M,16.0,Other Hispanic,,,
111006.0,M,64.0,Non-Hispanic Black,College graduate or above,Married/Living with Partner,3.55
111007.0,M,26.0,Non-Hispanic White,High school graduate/GED or equivalent,Never married,
111008.0,F,80.0,Non-Hispanic White,Some college or AA degree,Widowed/Divorced/Separated,0.6
111009.0,F,11.0,Non-Hispanic Black,,,0.9
111010.0,F,19.0,Non-Hispanic Black,,,0.72
111011.0,F,47.0,Mexican American,Less than 9th grade,Married/Living with Partner,2.0
111014.0,F,54.0,Other Race - Including Multi-Racial,High school graduate/GED or equivalent,Married/Living with Partner,1.26
111015.0,F,16.0,Mexican American,,,0.01
111017.0,M,2.0,Non-Hispanic Black,,,3.91
111018.0,M,80.0,Non-Hispanic Black,College graduate or above,Married/Living with Partner,4.56
111019.0,F,10.0,Other Race - Including Multi-Racial,,,4.86
111020.0,M,16.0,Non-Hispanic Black,,,0.66
111021.0,M,69.0,Mexican American,Less than 9th grade,Married/Living with Partner,4.07
111022.0,M,9.0,Non-Hispanic White,,,1.55
111023.0,F,61.0,Non-Hispanic White,High school graduate/GED or equivalent,Married/Living with Partner,
111024.0,F,7.0,Mexican American,,,
111025.0,M,80.0,Non-Hispanic White,9-11th grade,Married/Living with Partner,2.22
111026.0,F,2.0,Non-Hispanic White,,,0.53
111027.0,M,21.0,Non-Hispanic Black,High school graduate/GED or equivalent,Never married,
111028.0,F,2.0,Non-Hispanic Black,,,1.65
111029.0,F,10.0,Non-Hispanic Black,,,0.24
111030.0,F,69.0,Non-Hispanic White,High school graduate/GED or equivalent,Married/Living with Partner,5.0
111031.0,M,30.0,Non-Hispanic Asian,College graduate or above,Married/Living with Partner,5.0
111032.0,F,47.0,Non-Hispanic White,College graduate or above,Married/Living with Partner,3.79
111036.0,M,75.0,Non-Hispanic White,High school graduate/GED or equivalent,Married/Living with Partner,5.0
111037.0,M,34.0,Non-Hispanic White,College graduate or above,Married/Living with Partner,5.0
111038.0,F,14.0,Non-Hispanic Black,,,0.6
111039.0,F,44.0,Non-Hispanic Asian,Some college or AA degree,Married/Living with Partner,1.67
111040.0,F,48.0,Non-Hispanic Black,High school graduate/GED or equivalent,Never married,1.46
111041.0,M,17.0,Non-Hispanic White,,,4.05
111043.0,M,77.0,Non-Hispanic Asian,Less than 9th grade,Widowed/Divorced/Separated,
111044.0,F,15.0,Other Race - Including Multi-Racial,,,2.2
111045.0,M,38.0,Mexican American,College graduate or above,Never married,3.6
111048.0,M,13.0,Non-Hispanic Black,,,0.4
111049.0,M,2.0,Mexican American,,,3.84
111050.0,M,46.0,Non-Hispanic Asian,College graduate or above,Married/Living with Partner,4.58
111051.0,F,23.0,Non-Hispanic White,College graduate or above,Never married,1.73
111052.0,F,4.0,Non-Hispanic Asian,,,4.78
111053.0,F,64.0,Other Race - Including Multi-Racial,High school graduate/GED or equivalent,Widowed/Divorced/Separated,0.33
111054.0,M,64.0,Other Hispanic,College graduate or above,Married/Living with Partner,3.55
111055.0,M,18.0,Mexican American,,,
111056.0,M,17.0,Other Hispanic,,,0.48
111057.0,M,12.0,Other Race - Including Multi-Racial,,,5.0
111058.0,F,32.0,Mexican American,Less than 9th grade,Married/Living with Partner,
111059.0,F,14.0,Non-Hispanic Black,,,1.33
111060.0,F,23.0,Non-Hispanic Black,Some college or AA degree,Never married,1.13
111062.0,M,55.0,Other Race - Including Multi-Racial,Some college or AA degree,Married/Living with Partner,4.52
111063.0,F,60.0,Other Hispanic,Some college or AA degree,Married/Living with Partner,5.0
111064.0,M,45.0,Non-Hispanic White,Some college or AA degree,Married/Living with Partner,1.83
111065.0,F,48.0,Mexican American,Some college or AA degree,Married/Living with Partner,0.93
111066.0,F,16.0,Non-Hispanic White,,,2.0
111068.0,M,29.0,Non-Hispanic White,College graduate or above,Married/Living with Partner,3.75
111069.0,M,42.0,Non-Hispanic Black,High school graduate/GED or equivalent,Married/Living with Partner,1.15
111071.0,M,22.0,Mexican American,Some college or AA degree,Never married,
111072.0,M,10.0,Other Race - Including Multi-Racial,,,1.22
111073.0,F,18.0,Non-Hispanic Black,,,0.28
111075.0,M,51.0,Non-Hispanic Black,High school graduate/GED or equivalent,Married/Living with Partner,1.21
111077.0,F,67.0,Mexican American,Some college or AA degree,Married/Living with Partner,5.0
111078.0,F,67.0,Non-Hispanic White,College graduate or above,Married/Living with Partner,2.89
111080.0,F,11.0,Non-Hispanic White,,,2.95
111081.0,M,67.0,Non-Hispanic Black,High school graduate/GED or equivalent,Widowed/Divorced/Separated,
111082.0,F,17.0,Non-Hispanic Black,,,1.14
111083.0,M,28.0,Other Hispanic,Some college or AA degree,Widowed/Divorced/Separated,
111084.0,F,10.0,Non-Hispanic White,,,2.49
111085.0,F,22.0,Non-Hispanic Black,College graduate or above,Never married,
111087.0,M,13.0,Non-Hispanic White,,,2.09
111089.0,F,39.0,Non-Hispanic Black,College graduate or above,Never married,1.92
111090.0,F,15.0,Mexican American,,,1.7
111091.0,F,15.0,Non-Hispanic Black,,,3.3
111092.0,F,66.0,Non-Hispanic White,College graduate or above,Widowed/Divorced/Separated,5.0
111093.0,M,8.0,Non-Hispanic Black,,,1.38
111095.0,F,65.0,Non-Hispanic Black,College graduate or above,Married/Living with Partner,2.46
111096.0,F,32.0,Non-Hispanic Black,High school graduate/GED or equivalent,Never married,0.35
111097.0,M,77.0,Non-Hispanic White,High school graduate/GED or equivalent,Married/Living with Partner,1.46
111098.0,M,45.0,Non-Hispanic White,College graduate or above,Married/Living with Partner,5.0
111099.0,M,5.0,Non-Hispanic White,,,5.0
111100.0,F,5.0,Other Hispanic,,,4.04
111101.0,M,5.0,Non-Hispanic Black,,,1.82
111102.0,M,67.0,Non-Hispanic Black,Some college or AA degree,Married/Living with Partner,2.07
111103.0,M,15.0,Non-Hispanic Asian,,,1.22
111104.0,F,10.0,Other Hispanic,,,2.67
111105.0,M,66.0,Other Race - Including Multi-Racial,High school graduate/GED or equivalent,Married/Living with Partner,1.05
111106.0,M,8.0,Non-Hispanic Black,,,0.91
111107.0,F,31.0,Non-Hispanic Black,Some college or AA degree,Never married,
111108.0,F,7.0,Non-Hispanic White,,,1.56
111109.0,M,49.0,Mexican American,High school graduate/GED or equivalent,Widowed/Divorced/Separated,2.88
111110.0,F,45.0,Non-Hispanic White,Some college or AA degree,Married/Living with Partner,1.49
111111.0,F,8.0,Mexican American,,,2.19
111112.0,M,45.0,Non-Hispanic Asian,College graduate or above,Married/Living with Partner,5.0
111114.0,F,80.0,Mexican American,Less than 9th grade,Widowed/Divorced/Separated,3.06
111115.0,M,80.0,Non-Hispanic White,Less than 9th grade,Never married,1.36
111116.0,M,6.0,Other Hispanic,,,0.78
111117.0,F,60.0,Other Race - Including Multi-Racial,College graduate or above,Never married,5.0
111118.0,F,28.0,Non-Hispanic White,College graduate or above,Never married,
111119.0,M,10.0,Non-Hispanic Black,,,3.47
111122.0,M,29.0,Other Hispanic,College graduate or above,Married/Living with Partner,4.14
111123.0,M,80.0,Non-Hispanic White,High school graduate/GED or equivalent,Married/Living with Partner,1.11
111124.0,F,24.0,Non-Hispanic White,Some college or AA degree,Married/Living with Partner,3.91
111126.0,F,26.0,Non-Hispanic Black,Some college or AA degree,Married/Living with Partner,4.0
111127.0,F,13.0,Non-Hispanic White,,,2.56
111129.0,M,18.0,Non-Hispanic White,,,1.19
111130.0,M,34.0,Non-Hispanic White,College graduate or above,Never married,
111131.0,F,17.0,Non-Hispanic Black,,,0.74
111132.0,M,2.0,Other Hispanic,,,0.62
111133.0,F,48.0,Non-Hispanic Black,College graduate or above,Widowed/Divorced/Separated,1.17
111134.0,M,27.0,Non-Hispanic White,Some college or AA degree,Never married,5.0
111135.0,M,38.0,Mexican American,9-11th grade,Married/Living with Partner,1.55
111136.0,M,80.0,Non-Hispanic White,Some college or AA degree,Married/Living with Partner,
111137.0,M,2.0,Mexican American,,,0.43
111138.0,F,57.0,Non-Hispanic White,9-11th grade,Widowed/Divorced/Separated,1.88
111139.0,M,48.0,Non-Hispanic Asian,9-11th grade,Married/Living with Partner,1.79
111141.0,M,16.0,Non-Hispanic White,,,5.0
111143.0,M,80.0,Non-Hispanic White,9-11th grade,Married/Living with Partner,0.62
111144.0,M,80.0,Non-Hispanic White,Some college or AA degree,Married/Living with Partner,2.46
111145.0,M,46.0,Mexican American,Some college or AA degree,Married/Living with Partner,1.74
111146.0,M,5.0,Non-Hispanic White,,,2.06
111147.0,M,11.0,Non-Hispanic Asian,,,1.79
111149.0,F,43.0,Non-Hispanic Black,Some college or AA degree,Never married,2.65
111150.0,M,9.0,Non-Hispanic White,,,0.79
111151.0,M,14.0,Non-Hispanic White,,,0.33
111152.0,F,31.0,Non-Hispanic Black,Some college or AA degree,Never married,5.0
111153.0,F,32.0,Non-Hispanic Black,College graduate or above,Married/Living with Partner,5.0
111154.0,F,26.0,Non-Hispanic Black,High school graduate/GED or equivalent,Never married,0.64
111155.0,F,45.0,Non-Hispanic Black,Some college or AA degree,Married/Living with Partner,1.17
111156.0,M,6.0,Non-Hispanic Asian,,,3.92
111157.0,M,6.0,Non-Hispanic White,,,5.0
111158.0,F,8.0,Other Race - Including Multi-Racial,,,1.0
111159.0,F,60.0,Non-Hispanic Black,9-11th grade,Widowed/Divorced/Separated,0.74
111161.0,F,19.0,Other Race - Including Multi-Racial,,,0.12
111162.0,F,43.0,Non-Hispanic Black,High school graduate/GED or equivalent,Married/Living with Partner,
111163.0,M,22.0,Non-Hispanic White,Some college or AA degree,Never married,5.0
111164.0,M,64.0,Mexican American,College graduate or above,Married/Living with Partner,5.0
111165.0,M,40.0,Non-Hispanic White,High school graduate/GED or equivalent,Married/Living with Partner,3.25
111167.0,M,16.0,Non-Hispanic Asian,,,
111168.0,F,44.0,Non-Hispanic White,College graduate or above,Married/Living with Partner,3.88
111169.0,M,26.0,Non-Hispanic Black,High school graduate/GED or equivalent,Married/Living with Partner,
111170.0,M,10.0,Other Hispanic,,,0.87
111171.0,F,35.0,Non-Hispanic White,Some college or AA degree,Married/Living with Partner,
111172.0,M,14.0,Non-Hispanic White,,,0.43
111173.0,F,58.0,Non-Hispanic White,College graduate or above,Married/Living with Partner,
111174.0,F,2.0,Non-Hispanic White,,,0.91
111175.0,F,46.0,Other Hispanic,High school graduate/GED or equivalent,Married/Living with Partner,1.82
111177.0,F,62.0,Other Hispanic,Some college or AA degree,Never married,1.43
111178.0,F,74.0,Non-Hispanic White,High school graduate/GED or equivalent,Married/Living with Partner,5.0
111179.0,F,7.0,Non-Hispanic White,,,5.0
111181.0,M,18.0,Non-Hispanic Black,,,
111182.0,M,8.0,Non-Hispanic White,,,0.85
111184.0,M,16.0,Non-Hispanic Black,,,0.35
111185.0,M,69.0,Other Hispanic,Some college or AA degree,Married/Living with Partner,1.4
111186.0,F,4.0,Non-Hispanic Black,,,4.74
111188.0,M,74.0,Non-Hispanic White,Some college or AA degree,Married/Living with Partner,2.48
111189.0,F,36.0,Other Hispanic,Less than 9th grade,Married/Living with Partner,1.02
111190.0,F,51.0,Non-Hispanic White,High school graduate/GED or equivalent,Married/Living with Partner,3.34
111194.0,F,63.0,Mexican American,High school graduate/GED or equivalent,Married/Living with Partner,5.0
111196.0,M,80.0,Non-Hispanic White,High school graduate/GED or equivalent,Married/Living with Partner,2.16
111197.0,F,27.0,Non-Hispanic Black,High school graduate/GED or equivalent,Never married,1.01
111198.0,F,56.0,Non-Hispanic Black,College graduate or above,Widowed/Divorced/Separated,
111199.0,F,47.0,Non-Hispanic White,High school graduate/GED or equivalent,Widowed/Divorced/Separated,0.96
111201.0,M,50.0,Non-Hispanic Black,High school graduate/GED or equivalent,Married/Living with Partner,
111202.0,M,49.0,Non-Hispanic White,College graduate or above,Married/Living with Partner,5.0
111203.0,F,62.0,Other Race - Including Multi-Racial,High school graduate/GED or equivalent,Married/Living with Partner,3.41
111206.0,M,61.0,Other Hispanic,College graduate or above,Widowed/Divorced/Separated,5.0
111207.0,M,77.0,Mexican American,9-11th grade,Widowed/Divorced/Separated,2.06
111208.0,F,36.0,Non-Hispanic Asian,College graduate or above,Married/Living with Partner,5.0
111209.0,F,31.0,Non-Hispanic White,College graduate or above,Married/Living with Partner,4.14
111210.0,F,71.0,Mexican American,Some college or AA degree,Widowed/Divorced/Separated,4.48
111215.0,M,67.0,Mexican American,Some college or AA degree,Married/Living with Partner,0.77
111216.0,M,76.0,Non-Hispanic Black,9-11th grade,Married/Living with Partner,2.08
111217.0,M,10.0,Non-Hispanic White,,,3.56
111219.0,F,31.0,Mexican American,College graduate or above,Married/Living with Partner,4.14
111220.0,M,24.0,Non-Hispanic White,High school graduate/GED or equivalent,Married/Living with Partner,1.26
111221.0,M,80.0,Non-Hispanic White,College graduate or above,Married/Living with Partner,5.0
111222.0,F,53.0,Other Hispanic,Less than 9th grade,Married/Living with Partner,
111223.0,F,10.0,Other Hispanic,,,
111224.0,F,25.0,Non-Hispanic Black,Some college or AA degree,Never married,2.73
111225.0,F,4.0,Non-Hispanic Asian,,,
111227.0,F,2.0,Mexican American,,,1.23
111228.0,M,40.0,Non-Hispanic Black,Some college or AA degree,Married/Living with Partner,3.11
111229.0,M,64.0,Non-Hispanic White,9-11th grade,Married/Living with Partner,
111230.0,F,5.0,Mexican American,,,
111232.0,F,59.0,Other Hispanic,High school graduate/GED or equivalent,Never married,1.72
111233.0,M,32.0,Non-Hispanic Asian,College graduate or above,Married/Living with Partner,
111234.0,F,80.0,Non-Hispanic White,9-11th grade,Widowed/Divorced/Separated,1.33
111236.0,M,40.0,Non-Hispanic Black,High school graduate/GED or equivalent,Married/Living with Partner,
111237.0,F,9.0,Non-Hispanic Black,,,1.87
111238.0,M,38.0,Mexican American,Less than 9th grade,Never married,0.59
111239.0,F,6.0,Mexican American,,,1.31
111240.0,M,61.0,Other Hispanic,College graduate or above,Married/Living with Partner,5.0
111241.0,M,12.0,Other Race - Including Multi-Racial,,,
111242.0,M,20.0,Non-Hispanic Black,9-11th grade,Never married,
111243.0,F,2.0,Non-Hispanic White,,,5.0
111244.0,F,22.0,Non-Hispanic White,College graduate or above,Never married,5.0
111245.0,F,75.0,Non-Hispanic White,9-11th grade,Widowed/Divorced/Separated,1.49
111246.0,M,61.0,Non-Hispanic Black,Some college or AA degree,Never married,2.97
111247.0,M,71.0,Non-Hispanic White,High school graduate/GED or equivalent,Widowed/Divorced/Separated,0.83
111249.0,M,18.0,Non-Hispanic Black,,,0.98
111250.0,F,57.0,Non-Hispanic White,High school graduate/GED or equivalent,Widowed/Divorced/Separated,1.36
111253.0,M,71.0,Non-Hispanic Black,Some college or AA degree,Widowed/Divorced/Separated,4.57
111254.0,M,39.0,Non-Hispanic White,High school graduate/GED or equivalent,Married/Living with Partner,5.0
111255.0,M,78.0,Non-Hispanic White,High school graduate/GED or equivalent,Married/Living with Partner,1.43
111257.0,M,70.0,Non-Hispanic Black,Some college or AA degree,Married/Living with Partner,2.11
111258.0,M,2.0,Non-Hispanic Asian,,,5.0
111260.0,F,3.0,Non-Hispanic Black,,,0.28
111261.0,F,14.0,Mexican American,,,2.4
111262.0,F,71.0,Other Race - Including Multi-Racial,Some college or AA degree,Widowed/Divorced/Separated,0.93
111263.0,M,57.0,Other Hispanic,College graduate or above,Married/Living with Partner,5.0
111264.0,M,11.0,Other Hispanic,,,0.24
111265.0,F,18.0,Mexican American,,,
111268.0,M,79.0,Non-Hispanic White,9-11th grade,Widowed/Divorced/Separated,1.52
111269.0,M,17.0,Non-Hispanic Black,,,1.29
111270.0,M,24.0,Non-Hispanic Black,Less than 9th grade,Never married,0.19
111271.0,F,28.0,Non-Hispanic Asian,College graduate or above,Married/Living with Partner,5.0
111273.0,M,11.0,Non-Hispanic White,,,0.28
111274.0,M,69.0,Non-Hispanic Black,Some college or AA degree,Widowed/Divorced/Separated,
111276.0,M,2.0,Other Race - Including Multi-Racial,,,4.25
111277.0,F,37.0,Non-Hispanic Asian,Less than 9th grade,Married/Living with Partner,1.32
111278.0,F,11.0,Non-Hispanic Black,,,0.6
111279.0,M,40.0,Non-Hispanic White,College graduate or above,Married/Living with Partner,5.0
111280.0,M,22.0,Non-Hispanic White,Some college or AA degree,Never married,5.0
111282.0,F,54.0,Non-Hispanic White,Some college or AA degree,Married/Living with Partner,1.06
111283.0,F,42.0,Non-Hispanic White,Some college or AA degree,Married/Living with Partner,5.0
111284.0,M,65.0,Mexican American,Less than 9th grade,Married/Living with Partner,1.0
111285.0,F,16.0,Non-Hispanic Black,,,0.88
111286.0,M,33.0,Mexican American,Some college or AA degree,Married/Living with Partner,5.0
111287.0,M,50.0,Mexican American,Some college or AA degree,Married/Living with Partner,2.72
111288.0,M,56.0,Non-Hispanic Black,College graduate or above,Never married,3.2
111289.0,M,10.0,Non-Hispanic White,,,3.77
111290.0,F,66.0,Non-Hispanic Black,College graduate or above,Never married,1.07
111292.0,M,70.0,Other Hispanic,Less than 9th grade,Never married,0.38
111294.0,M,47.0,Other Hispanic,Less than 9th grade,Married/Living with Partner,0.62
111295.0,F,15.0,Other Hispanic,,,
111296.0,F,40.0,Non-Hispanic Black,Some college or AA degree,Never married,3.08
111297.0,M,70.0,Non-Hispanic White,College graduate or above,Married/Living with Partner,3.34
111298.0,F,80.0,Non-Hispanic White,Less than 9th grade,Married/Living with Partner,0.65
111300.0,F,63.0,Non-Hispanic Black,College graduate or above,Widowed/Divorced/Separated,1.24
111301.0,F,35.0,Non-Hispanic White,High school graduate/GED or equivalent,Married/Living with Partner,2.41
111302.0,M,18.0,Non-Hispanic White,,,3.19
111303.0,M,27.0,Mexican American,Less than 9th grade,Married/Living with Partner,1.97
111304.0,M,79.0,Non-Hispanic White,College graduate or above,Married/Living with Partner,3.77
111307.0,M,42.0,Non-Hispanic Black,College graduate or above,Married/Living with Partner,4.22
111308.0,F,57.0,Non-Hispanic White,College graduate or above,Widowed/Divorced/Separated,5.0
111309.0,M,35.0,Non-Hispanic White,Some college or AA degree,Married/Living with Partner,3.92
111312.0,F,61.0,Non-Hispanic White,High school graduate/GED or equivalent,Married/Living with Partner,1.25
111313.0,F,6.0,Non-Hispanic Asian,,,5.0
111314.0,M,17.0,Non-Hispanic Black,,,
111315.0,F,63.0,Other Hispanic,High school graduate/GED or equivalent,Widowed/Divorced/Separated,
111316.0,M,39.0,Non-Hispanic White,Some college or AA degree,Widowed/Divorced/Separated,5.0
111317.0,F,45.0,Mexican American,High school graduate/GED or equivalent,Married/Living with Partner,1.91
111318.0,F,58.0,Mexican American,9-11th grade,Married/Living with Partner,3.32
111320.0,F,43.0,Non-Hispanic White,Less than 9th grade,Married/Living with Partner,1.22
111321.0,F,43.0,Mexican American,9-11th grade,Married/Living with Partner,
111322.0,F,62.0,Non-Hispanic Asian,College graduate or above,Widowed/Divorced/Separated,2.39
111323.0,M,43.0,Mexican American,Some college or AA degree,Married/Living with Partner,1.36
111324.0,M,64.0,Non-Hispanic White,High school graduate/GED or equivalent,Married/Living with Partner,2.6
111326.0,F,50.0,Other Race - Including Multi-Racial,College graduate or above,Married/Living with Partner,1.16
111328.0,M,68.0,Non-Hispanic White,College graduate or above,Married/Living with Partner,5.0
111329.0,M,57.0,Non-Hispanic Asian,Some college or AA degree,Widowed/Divorced/Separated,5.0
111330.0,F,19.0,Non-Hispanic White,,,5.397605346934028e-79
111332.0,F,57.0,Non-Hispanic White,College graduate or above,Widowed/Divorced/Separated,5.397605346934028e-79
111333.0,F,73.0,Non-Hispanic White,Some college or AA degree,Widowed/Divorced/Separated,1.98
111335.0,F,55.0,Non-Hispanic Black,9-11th grade,Widowed/Divorced/Separated,0.47
111336.0,M,77.0,Non-Hispanic White,College graduate or above,Married/Living with Partner,5.0
111337.0,F,67.0,Non-Hispanic White,Some college or AA degree,Widowed/Divorced/Separated,
111338.0,M,60.0,Other Hispanic,9-11th grade,Married/Living with Partner,1.77
111340.0,F,10.0,Other Race - Including Multi-Racial,,,3.03
111341.0,F,3.0,Non-Hispanic White,,,0.71
111343.0,F,67.0,Non-Hispanic Black,Some college or AA degree,Widowed/Divorced/Separated,2.46
111345.0,F,64.0,Non-Hispanic Black,High school graduate/GED or equivalent,Married/Living with Partner,0.06
111346.0,M,12.0,Non-Hispanic Black,,,0.92
111348.0,M,37.0,Other Hispanic,High school graduate/GED or equivalent,Married/Living with Partner,1.22
111349.0,F,13.0,Other Hispanic,,,5.0
111350.0,M,62.0,Other Hispanic,Less than 9th grade,Never married,0.25
111351.0,M,22.0,Non-Hispanic Asian,Some college or AA degree,Never married,5.0
111353.0,M,6.0,Non-Hispanic Asian,,,3.94
111354.0,M,58.0,Non-Hispanic Asian,Some college or AA degree,Widowed/Divorced/Separated,5.0
111355.0,F,62.0,Mexican American,Less than 9th grade,Married/Living with Partner,
111356.0,M,2.0,Other Hispanic,,,5.0
111357.0,F,60.0,Non-Hispanic White,High school graduate/GED or equivalent,Married/Living with Partner,4.56
111358.0,M,48.0,Other Race - Including Multi-Racial,Some college or AA degree,Married/Living with Partner,4.58
111359.0,M,7.0,Non-Hispanic White,,,1.55
111360.0,M,53.0,Non-Hispanic Black,College graduate or above,Widowed/Divorced/Separated,3.23
111361.0,M,23.0,Non-Hispanic Black,Some college or AA degree,Married/Living with Partner,0.45
111362.0,M,6.0,Non-Hispanic Black,,,3.76
111363.0,M,74.0,Non-Hispanic White,High school graduate/GED or equivalent,Widowed/Divorced/Separated,1.68
111364.0,M,67.0,Non-Hispanic Black,College graduate or above,Widowed/Divorced/Separated,5.0
111365.0,F,34.0,Mexican American,College graduate or above,Married/Living with Partner,4.73
111366.0,M,22.0,Other Hispanic,High school graduate/GED or equivalent,Never married,0.52
111367.0,F,69.0,Non-Hispanic Black,9-11th grade,Married/Living with Partner,1.81
111369.0,F,17.0,Other Race - Including Multi-Racial,,,1.68
111370.0,F,34.0,Other Race - Including Multi-Racial,Some college or AA degree,Married/Living with Partner,1.73
111371.0,F,7.0,Non-Hispanic White,,,2.02
111372.0,M,18.0,Mexican American,,,1.18
111373.0,M,5.0,Other Race - Including Multi-Racial,,,2.64
111374.0,F,11.0,Non-Hispanic White,,,5.0
111377.0,M,51.0,Other Hispanic,Some college or AA degree,Married/Living with Partner,5.0
111378.0,F,63.0,Mexican American,Some college or AA degree,Widowed/Divorced/Separated,
111379.0,M,10.0,Mexican American,,,0.39
111380.0,M,67.0,Non-Hispanic White,Some college or AA degree,Widowed/Divorced/Separated,0.99
111382.0,M,60.0,Mexican American,Some college or AA degree,Never married,1.35
111383.0,M,8.0,Other Hispanic,,,2.89
111385.0,F,63.0,Non-Hispanic Black,High school graduate/GED or equivalent,Married/Living with Partner,1.59
111386.0,F,18.0,Non-Hispanic White,,,0.08
111387.0,F,11.0,Non-Hispanic White,,,2.89
111390.0,F,60.0,Non-Hispanic Asian,College graduate or above,Married/Living with Partner,1.77
111391.0,F,27.0,Non-Hispanic Asian,Some college or AA degree,Never married,0.58
111392.0,M,7.0,Non-Hispanic Black,,,0.27
111393.0,M,3.0,Non-Hispanic White,,,1.7
111394.0,M,62.0,Non-Hispanic White,College graduate or above,Married/Living with Partner,5.0
111395.0,M,34.0,Non-Hispanic Asian,High school graduate/GED or equivalent,Married/Living with Partner,1.02
111396.0,F,47.0,Non-Hispanic Black,Some college or AA degree,Married/Living with Partner,1.63
111397.0,F,29.0,Other Hispanic,9-11th grade,Never married,0.17
111398.0,F,2.0,Non-Hispanic Black,,,0.1
111399.0,M,18.0,Non-Hispanic Black,,,1.15
111400.0,F,28.0,Non-Hispanic Black,College graduate or above,Married/Living with Partner,5.0
111403.0,M,18.0,Non-Hispanic Black,,,0.01
111404.0,F,6.0,Other Race - Including Multi-Racial,,,0.51
111405.0,M,44.0,Mexican American,9-11th grade,Married/Living with Partner,1.22
111407.0,F,9.0,Non-Hispanic Black,,,3.06
111408.0,M,36.0,Non-Hispanic Asian,College graduate or above,Married/Living with Partner,5.0
111410.0,M,11.0,Non-Hispanic Black,,,
111411.0,F,50.0,Mexican American,High school graduate/GED or equivalent,Married/Living with Partner,1.76
